,CD_GEOCODM,NM_AGSN,CodAGSN,Estimated_Population,DPO_EmAGSN,Pop_EmAGSN,AbsoluteDifference,ProportionalDifference
0,3516408,VILA BAZU,35164080001.0,3319.0,72,257,3062.0,11.914396887159533
1,3516408,PRETÓRIA,35164080002.0,,808,3031,,
2,3516408,PARQUE MONTREAL,35164080004.0,,88,316,,
3,3516408,VILA PALMARES,35164080005.0,,193,688,,
4,3516408,ARCO ÍRIS,35164080006.0,1244.0,383,1385,-141.0,-0.10180505415162455
5,3516408,RUA ANTÔNIO DO NASCIMENTO,35164080009.0,,66,234,,
6,3516408,RUA GERALDO HENRIQUE DA SILVA,35164080010.0,,63,238,,
7,3516408,RUA PINTASSILGO (PRETÓRIA),35164080011.0,,207,754,,
8,3516408,PARADINHA 1,35164080012.0,,192,750,,
9,3516408,PARADINHA 2,35164080013.0,,43,176,,
10,3516408,RUA PARÁ,35164080014.0,,110,380,,
11,3516408,RUA JOSÉ MOURÃO FILHO,35164080015.0,,58,226,,
12,3516408,RUA SERRANA,35164080017.0,,107,399,,
13,3516408,RUA AMPARO,35164080018.0,,132,492,,
14,3550308,SEM DENOMINAÇÃO 14,35503080944.0,,333,1092,,
15,3550308,JARDIM DO LAGO,35503081062.0,,154,520,,
16,3550308,CASTELINHO,35503081063.0,,122,454,,
17,3550308,JARDIM MARISTELA II,35503080086.0,,270,970,,
18,3550308,NOSSA SENHORA DA ENCARNAÇÃO,35503080805.0,,100,359,,
19,3550308,CÓRREGO JABUTICABAL,35503080806.0,,96,382,,
20,3550308,JOSÉ SERDEIRA RIBAS,35503080807.0,,95,381,,
21,3550308,JARDIM CLÍMAX,35503080138.0,,103,445,,
22,3550308,VILA LIVIERO,35503080180.0,,186,709,,
23,3550308,VILA CRISTINA,35503080234.0,,513,1929,,
24,3550308,MENINO DO ENGENHO II,35503080821.0,,500,1751,,
25,3550308,MENINO DO ENGENHO I,35503080218.0,,568,1946,,
26,3550308,EDUARDO VALIM,35503080808.0,,225,822,,
27,3550308,SÃO PEDRO,35503080200.0,,258,928,,
28,3550308,MORRO USP,35503080885.0,,501,1820,,
29,3550308,CHACRINHA,35503081189.0,,236,761,,
30,3550308,PASSAGEM II,35503081190.0,,94,356,,
31,3550308,CAMPO DE LUTA,35503081191.0,,209,714,,
32,3550308,TAPUIA,35503081192.0,,111,388,,
33,3550308,MAURICE DENIS,35503081193.0,,139,528,,
34,3550308,PINTO DA LUZ,35503080068.0,,231,781,,
35,3550308,JARDIM INDEPENDÊNCIA,35503080802.0,,293,988,,
36,3550308,SÃO JOSÉ (VILA PRUDENTE),35503080095.0,,499,1790,,
37,3550308,MANGUE,35503080803.0,,120,422,,
38,3550308,ANDRÉ DA CUNHA FONSECA,35503081167.0,,100,368,,
39,3550308,PARQUE PEREIRA,35503081168.0,,85,351,,
40,3550308,VILA FLÁVIA II,35503080145.0,,397,1519,,
41,3550308,VILA FLÁVIA I,35503080122.0,6252.0,533,1915,4337.0,2.2647519582245432
42,3550308,CAMPOS DE MELLO III,35503081219.0,,150,543,,
43,3550308,VILA PAULISTANO I,35503081220.0,,97,321,,
44,3550308,VILA PAULISTANO II,35503081221.0,,21,65,,
45,3550308,TUFIK MEREB,35503081223.0,,38,138,,
46,3550308,JARDIM SÃO LOURENÇO,35503080658.0,1867.0,183,681,1186.0,1.7415565345080763
47,3550308,JARDIM NAKAMURA I,35503080657.0,,686,2328,,
48,3550308,BOULEVARD DA PAZ,35503081257.0,6209.0,1850,6606,-397.0,-0.06009688162276718
49,3550308,PARQUE NOVO SANTO AMARO,35503080659.0,,564,1892,,
50,3550308,JARDIM NAKAMURA II,35503080654.0,,699,2394,,
51,3550308,BOTUCATU,35503080408.0,,828,2979,,
52,3550308,JARDIM PARANAPANEMA,35503080746.0,,1809,6283,,
53,3550308,TAMOIO,35503080531.0,,94,360,,
54,3550308,COPACABANA,35503080241.0,,387,1325,,
55,3550308,JARDIM SÃO BENTO II,35503080533.0,,1037,3516,,
56,3550308,JARDIM KAGOHARA,35503080171.0,,585,2091,,
57,3550308,ALTO DO RIVIERA,35503080647.0,,227,863,,
58,3550308,JARDIM ARACATI,35503080653.0,,314,1132,,
59,3550308,SANTA LUCIA,35503080268.0,,145,478,,
60,3550308,JARDIM SANTA LUCIA,35503080226.0,,189,623,,
61,3550308,JARDIM TUPI,35503080255.0,,177,690,,
62,3550308,MINUETOS,35503081361.0,,280,913,,
63,3550308,PARQUE CRISTINA,35503080474.0,,593,2010,,
64,3550308,SONIA REGINEZ,35503080388.0,,667,2342,,
65,3550308,ORFEÕES,35503080191.0,6210.0,366,1245,4965.0,3.9879518072289155
66,3550308,HERCULANO,35503080363.0,,234,795,,
67,3550308,SANTA ZÉLIA,35503080280.0,,201,660,,
68,3550308,LIMA JÚNIOR,35503080410.0,,236,869,,
69,3550308,AMÉLIA (CAPELA DO SOCORRO),35503080438.0,,621,2229,,
70,3550308,JARDIM IMBÉ I,35503080359.0,,91,337,,
71,3505708,OTACILIO,35057080029.0,,163,663,,
72,3505708,NOVA AURORA,35057080005.0,,166,661,,
73,3505708,RUA BROOKLIN,35057080032.0,,53,189,,
74,3505708,EMPREENDIMENTOS ELIAS,35057080033.0,,84,311,,
75,3505708,DER,35057080034.0,,59,234,,
76,3505708,EMPREENDIMENTOS TIRADENTES,35057080035.0,,144,515,,
77,3509007,AMABILE DELLATORRE,35090070002.0,,181,677,,
78,3509007,JOSÉ FAILACE,35090070003.0,,42,165,,
79,3509007,RUA JOSÉ FAILLACE,35090070004.0,,47,189,,
80,3509007,ANITA GARIBALDI,35090070005.0,,153,563,,
81,3509007,RICARDO ZERBINATTI,35090070006.0,,137,479,,
82,3509007,VICENTE LIZA,35090070007.0,,110,413,,
83,3509205,ACAMPAMENTO FLORIM,35092050006.0,,363,1323,,
84,3509205,UNIÃO,35092050001.0,,304,1102,,
85,3509205,CRUZEIRO,35092050004.0,,129,447,,
86,3510609,ARTEM ESPERANÇA,35106090037.0,,83,311,,
87,3510609,VILA SILVA RIBEIRO,35106090012.0,,50,188,,
88,3510609,FAVELA DO MURÃO,35106090045.0,,537,2222,,
89,3510609,SEM DENOMINAÇÃO,35106090049.0,,159,460,,
90,3510609,JATAÍ,35106090065.0,,383,1285,,
91,3510609,VILA MARCONDES,35106090027.0,,157,623,,
92,3510609,ROSEIRA,35106090051.0,,188,686,,
93,3510609,DOIS CÓRREGOS,35106090058.0,,116,406,,
94,3510609,FAVELA DO CEMITÉRIO,35106090044.0,,392,1610,,
95,3510609,VILA MUNICIPAL,35106090001.0,,479,1590,,
96,3510609,VILA MUNICIPAL II,35106090033.0,,422,1636,,
97,3510609,JARDIM HERMÍNIA II,35106090029.0,,41,153,,
98,3510609,JARDIM HERMÍNIA,35106090035.0,,49,212,,
99,3510609,VILA SÃO JOSÉ,35106090039.0,,170,697,,
100,3510609,VILA CAPRIOTTI,35106090030.0,,359,1205,,
101,3510609,CSU,35106090063.0,,578,2163,,
102,3510609,JATHAÍ,35106090067.0,,555,2203,,
103,3510609,JARDIM NOVO HORIZONTE,35106090048.0,,651,2321,,
104,3510609,JARDIM HELENA II,35106090038.0,,100,425,,
105,3510609,VILA HELENA,35106090006.0,,114,404,,
106,3510609,JARDIM ELZINHA,35106090066.0,,268,945,,
107,3510609,JARDIM EDIR,35106090042.0,,210,882,,
108,3510609,SARUTAIA,35106090061.0,,96,390,,
109,3510609,FAVELA SAVOY,35106090009.0,,481,2183,,
110,3510609,JARDIM ROSELY,35106090010.0,,245,956,,
111,3510609,VILA DIRCE,35106090002.0,,137,510,,
112,3510609,JARDIM PARQUE,35106090052.0,,351,1326,,
113,3510609,JARDIM MARIA BEATRIZ,35106090047.0,,353,1327,,
114,3513009,JARDIM NARA LUCIA,35130090002.0,,128,527,,
115,3513009,JARDIM COTIA,35130090001.0,2818.0,165,667,2151.0,3.2248875562218893
116,3513009,PARQUE FRONDOSO,35130090003.0,,59,256,,
117,3513801,MARIA LEONOR,35138010011.0,,91,345,,
118,3513801,MULFORD,35138010082.0,,101,355,,
119,3513801,JARDIM REY,35138010178.0,,236,885,,
120,3513801,NOSSA SENHORA APARECIDA,35138010012.0,,104,352,,
121,3513801,SÃO JUDAS TADEU,35138010013.0,9457.0,191,649,8808.0,13.571648690292758
122,3513801,PARQUE REID / SERRA DO MACAÉ / NOVA SERRANA,35138010014.0,,162,580,,
123,3513801,SERRA DA BORBOREMA / ALFENAS 2 / ESCADÃO,35138010008.0,,97,302,,
124,3513801,MARIA TEREZA,35138010010.0,,159,576,,
125,3513801,MACAÚBA,35138010006.0,,125,456,,
126,3513801,MARGINAL / SICOMORU / JARDIM AMÁLIA,35138010179.0,,210,665,,
127,3513801,MELRO / GAIVOTA / ALBATROZ / COLIBRI,35138010005.0,,92,352,,
128,3513801,ITÁLIA,35138010022.0,,188,627,,
129,3513801,ITÁLIA / PARAMARIBO,35138010180.0,,101,360,,
130,3513801,NAÇÕES,35138010021.0,,205,753,,
131,3513801,18 DE AGOSTO / SANTA LUZIA,35138010181.0,,378,1430,,
132,3513801,SANTA LUZIA,35138010156.0,,317,1192,,
133,3513801,18 DE AGOSTO / ANTÔNIO FERREIRA,35138010152.0,,379,1392,,
134,3513801,BOSQUE REAL,35138010015.0,,240,831,,
135,3513801,JARDIM ABC I - JARDIM ABC 1A,35138010029.0,,101,400,,
136,3513801,SANTA CRUZ IV / SANTA CRUZ III,35138010027.0,,105,402,,
137,3513801,JARDIM ABC III,35138010028.0,,74,273,,
138,3513801,JARDIM ABC II,35138010026.0,,73,276,,
139,3513801,VILA OLINDA,35138010024.0,,557,2075,,
140,3513801,VILA PROGRESSO / SERVIDÃO,35138010025.0,,121,438,,
141,3513801,DOM JOÃO VI,35138010023.0,,374,1365,,
142,3513801,SANTA CRUZ I E II,35138010032.0,,298,1075,,
143,3513801,TAKEBE I / DO PADRE / VILA DOS PALMARES / SANTANA,35138010030.0,,409,1448,,
144,3513801,VILA ORIENTAL I,35138010034.0,,82,283,,
145,3513801,VILA CLÁUDIA / VILA ALICE,35138010151.0,,206,683,,
146,3513801,VILA ALICE,35138010035.0,,237,831,,
147,3513801,VILA ODETE / VILINHA,35138010039.0,,416,1402,,
148,3513801,NAÇÕES / BERLIM,35138010183.0,,321,1193,,
149,3513801,CANHEMA,35138010037.0,,214,765,,
150,3513801,SANTA HELENA,35138010201.0,,63,236,,
151,3513801,NOVA CONQUISTA / KRONES II,35138010166.0,,3121,10836,,
152,3513801,NAVAL,35138010041.0,,220,834,,
153,3513801,VILA MODELO,35138010053.0,,135,527,,
154,3513801,VILA POPULAR,35138010185.0,,349,1200,,
155,3513801,VILA POPULAR - AMADOR BUENO,35138010052.0,,439,1505,,
156,3513801,ANA SOFIA 2 / MODESTO DE CARVALHO / VILA POPULAR,35138010186.0,,191,761,,
157,3513801,ANA SOFIA / GOYOTIN / PONTA DO LESTE,35138010049.0,,166,588,,
158,3513801,SANTA ELIZABETH / VILA OPERÁRIA,35138010002.0,,166,538,,
159,3513801,MOMBAÉ,35138010055.0,,75,275,,
160,3513801,MARILENE,35138010054.0,7096.0,1307,4474,2622.0,0.5860527492177022
161,3513801,MARILENE / AFONSO PENA,35138010187.0,,159,529,,
162,3513801,VILA LÍDIA / TAPERINHA / ANTÔNIO DE AZEVEDO,35138010046.0,,64,246,,
163,3513801,VILA NOGUEIRA,35138010048.0,,125,425,,
164,3513801,MARIA CÂNDIDA DE OLIVEIRA,35138010056.0,,58,208,,
165,3513801,VILA NOVA II,35138010159.0,,521,1889,,
166,3513801,GAZUZA / PAU DO CAFÉ / FUNDIBEM,35138010188.0,,543,1895,,
167,3513801,GAZUZA / PAU DO CAFÉ,35138010158.0,,419,1683,,
168,3513801,PORTINARI,35138010077.0,,176,705,,
169,3513801,NOVA CONQUISTA / KRONES,35138010160.0,,533,1828,,
170,3513801,SANTO IVO,35138010072.0,,497,1699,,
171,3513801,MEM DE SÁ,35138010073.0,,149,473,,
172,3513801,BARÃO DE URUGUAIANA,35138010078.0,,220,827,,
173,3513801,ARCO-ÍRIS I E II,35138010067.0,,174,603,,
174,3513801,BANDEIRANTES,35138010061.0,,64,232,,
175,3513801,ARTHUR BERNARDES,35138010202.0,,50,169,,
176,3513801,BACALHAU / ANTÔNIO DE ARAÚJO / BALEIA,35138010009.0,,101,364,,
177,3513801,CANGATI / JÓQUEI / CAMARUPIM / CARAPEBA,35138010147.0,,283,1057,,
178,3513801,CIDADE DE DEUS,35138010143.0,,86,379,,
179,3513801,CAÇÃO CALANGO CACHALOTE / CARBOJE,35138010145.0,,313,1170,,
180,3513801,ANEQUIM / ARRAIA / FREI AMBRÓSIO,35138010140.0,,75,250,,
181,3513801,JARDIM DA LIBERDADE / RUBENS OSCAR GUELLI,35138010154.0,,91,333,,
182,3513801,IGUASSU,35138010190.0,565.0,179,640,-75.0,-0.1171875
183,3513801,IMBAÚVA,35138010136.0,,183,600,,
184,3513801,3 MOSQUETEIROS / IPOÁ,35138010007.0,,132,474,,
185,3513801,INAMAR II,35138010129.0,,52,198,,
186,3513801,INAMAR I / MANACÁS,35138010128.0,,118,401,,
187,3513801,CAVIÚNA,35138010135.0,,660,2329,,
188,3513801,CAVIÚNA / JARDIM UNIÃO II,35138010126.0,,355,1259,,
189,3513801,UNIÃO 1 B,35138010127.0,,537,1926,,
190,3513801,UNIÃO DA VITÓRIA,35138010191.0,,297,1070,,
191,3513801,CANOPO / SANTA INEZ / SANTO ANTÔNIO / MARGARIDAS,35138010130.0,,75,277,,
192,3513801,"SANTA MARIA V, VI E VIII",35138010114.0,,79,281,,
193,3513801,SANTA MARIA I,35138010117.0,,156,571,,
194,3513801,VILA NOVA I I,35138010111.0,,380,1328,,
195,3513801,MORRO DO SAMBA,35138010157.0,,467,1724,,
196,3513801,PIRATININGA I E II,35138010104.0,,264,935,,
197,3513801,INVERNO / VERÃO,35138010122.0,,127,445,,
198,3513801,PARQUE REAL I,35138010101.0,,118,381,,
199,3513801,TUIUTI,35138010088.0,,75,256,,
200,3513801,RIACHUELO / VILA ELEONOR,35138010090.0,,69,240,,
201,3513801,RUYCE F. ALVIM,35138010093.0,,56,187,,
202,3513801,RUA DO MAR / ÁLVARES CABRAL / RUYCE II,35138010094.0,,176,608,,
203,3513801,SANTA CÂNDIDA I,35138010100.0,,77,316,,
204,3513801,CIDADE ALTA / UIRAPURU / TANGARÁ,35138010164.0,,125,433,,
205,3513801,NOVO HABITAT,35138010165.0,,113,404,,
206,3513801,GAZUZA / PAU DO CAFÉ II,35138010192.0,,163,613,,
207,3513801,GAZUZA / PAU DO CAFÉ / BOM SUCESSO,35138010193.0,,345,1292,,
208,3513801,PAU DO CAFÉ II,35138010194.0,,144,748,,
209,3513801,YAMBERÊ II,35138010170.0,,100,372,,
210,3513801,PABLO NERUDA / BEIRA RIO,35138010173.0,,193,684,,
211,3513801,PARQUE REAL II E III,35138010195.0,,123,425,,
212,3513801,PRÉ MOLDADO,35138010177.0,,99,380,,
213,3513801,SERRA DO BATURITE,35138010197.0,,73,262,,
214,3513801,ÁGUIA DE OURO / PARAOPEBA I E II,35138010198.0,,111,396,,
215,3513801,TAKEBINHO / VILA OLINDA,35138010199.0,,99,322,,
216,3513801,SÍTIO JOANINHA / SÍTIO DO BARBA,35138010184.0,368.0,328,1165,-797.0,-0.6841201716738198
217,3513801,AYRTON SENNA / CHICO MENDES,35138010189.0,,71,253,,
218,3515004,MATO GROSSO,35150040033.0,,113,455,,
219,3515004,PARQUE LUIZA,35150040013.0,,602,2142,,
220,3515004,JARDIM COLÉGIO,35150040035.0,,217,886,,
221,3515004,SÃO FRANCISCO,35150040036.0,,169,735,,
222,3515004,SANTA ROSA,35150040012.0,,95,357,,
223,3515004,PINHEIROS,35150040011.0,,365,1422,,
224,3515004,HERCILIO WUSTEMBERG,35150040010.0,,238,859,,
225,3515004,SANTA LUZIA,35150040065.0,,210,905,,
226,3515004,ILHA PORCHAT,35150040051.0,,321,1581,,
227,3515004,JARDIM CASTILHO,35150040017.0,,721,2851,,
228,3515004,VILA FELIZ,35150040034.0,,171,587,,
229,3515004,SANTARÉM,35150040002.0,,353,1289,,
230,3515004,JARDIM VALO VERDE,35150040019.0,,544,1962,,
231,3515004,GUAIÇARA,35150040061.0,,327,1066,,
232,3515004,TAIMA,35150040039.0,,192,707,,
233,3515004,NONOAI,35150040040.0,,338,1266,,
234,3515004,DETROIT,35150040031.0,,102,329,,
235,3515004,PAQUETÁ,35150040062.0,,129,430,,
236,3515004,BOTUCATU,35150040026.0,,296,1168,,
237,3515004,GUAÍBA,35150040063.0,,119,464,,
238,3515004,JOSÉ LINHARES,35150040041.0,,199,827,,
239,3515004,SANTANA DO PARNAÍBA,35150040027.0,,100,402,,
240,3515004,JARDIM ANGELA,35150040042.0,,66,284,,
241,3515004,RUDGE RAMOS,35150040023.0,3105.0,192,697,2408.0,3.45480631276901
242,3515004,PANORAMA,35150040001.0,6215.0,276,1072,5143.0,4.797574626865671
243,3515004,SANTOS DUMONT,35150040060.0,,189,693,,
244,3515004,SILVIA,35150040048.0,,164,584,,
245,3515004,INDUSTRIAL 1,35150040053.0,,61,191,,
246,3515004,ISIS CRISTINA,35150040050.0,,198,775,,
247,3515004,SANTA CLARA,35150040066.0,,76,283,,
248,3515004,KEISHI MATSUMOTO,35150040047.0,,250,903,,
249,3515004,RODOANEL,35150040052.0,,247,954,,
250,3515004,CONCORDIA,35150040049.0,,131,538,,
251,3515004,ARAPONGAS,35150040057.0,,107,392,,
252,3515004,CAMPO GRANDE,35150040056.0,,71,283,,
253,3515004,SÃO LUIZ,35150040046.0,,186,649,,
254,3515004,CASA BRANCA,35150040054.0,,98,377,,
255,3515004,BARROCO,35150040055.0,,68,249,,
256,3515004,DOIS PALITOS,35150040045.0,,281,1204,,
257,3515004,NOVA REPÚBLICA,35150040059.0,,197,687,,
258,3515004,AUGUSTO DE ALMEIDA BATISTA,35150040064.0,,56,220,,
259,3515004,POMBAS,35150040020.0,,57,214,,
260,3515004,GUAIRACÁ,35150040058.0,,75,269,,
261,3515707,JARDIM GENTILE,35157070001.0,,648,2416,,
262,3515707,SEM DENOMINAÇÃO DA VILA BIANCHI,35157070002.0,,201,694,,
263,3515707,VILA TANQUINHO,35157070003.0,,175,639,,
264,3515707,VILA T.V.,35157070004.0,,203,769,,
265,3515707,SEM DENOMINAÇÃO DO JARDIM ANCHIETA,35157070005.0,,64,246,,
266,3515707,SEM DENOMINAÇÃO DO JARDIM LEILA,35157070006.0,,202,747,,
267,3515707,SEM DENOMINAÇÃO DO JARDIM HELENA,35157070007.0,,75,299,,
268,3515707,SEM DENOMINAÇÃO DO PARQUE SÃO JUDAS TADEU,35157070008.0,,238,898,,
269,3515707,SEM DENOMINAÇÃO DO JARDIM SÃO BENEDITO,35157070009.0,,312,1229,,
270,3515707,SEM DENOMINAÇÃO DO JARDIM SARA,35157070010.0,,64,217,,
271,3515707,SEM DENOMINAÇÃO DO JARDIM DAYSE,35157070011.0,,93,342,,
272,3515707,SEM DENOMINAÇÃO DA VILA LOANDA,35157070012.0,,334,1210,,
273,3515707,SEM DENOMINAÇÃO DO JARDIM SÃO JOSÉ,35157070013.0,,169,660,,
274,3515707,SEM DENOMINAÇÃO DO JARDIM SOEIRO,35157070014.0,,73,275,,
275,3515707,SEM DENOMINAÇÃO DO JARDIM SÃO FERNANDO,35157070015.0,,78,307,,
276,3515707,SEM DENOMINAÇÃO DO JARDIM SÃO LÁZARO,35157070016.0,,34,108,,
277,3515707,SEM DENOMINAÇÃO DO JARDIM VERÃO,35157070017.0,,139,574,,
278,3516309,RUA NILO PEÇANHA,35163090001.0,,64,214,,
279,3516309,RUA DAS TULIPAS,35163090002.0,,80,299,,
280,3516309,RUA JOSÉ MARIO CURTY,35163090003.0,,68,241,,
281,3516309,RUA DAS LARANJEIRAS,35163090005.0,,39,155,,
282,3516309,RUA ROQUE MODESTO DOS SANTOS,35163090007.0,,74,269,,
283,3516309,OURO PRETO,35163090008.0,1430.0,452,1626,-196.0,-0.12054120541205413
284,3516309,RUA JULIO GOMES DE MELO,35163090014.0,,79,295,,
285,3516309,RUA QUINZE,35163090015.0,,109,380,,
286,3516309,RUA DEZESSEIS,35163090016.0,,89,349,,
287,3516309,RUA DAS MARGARIDAS,35163090017.0,,156,543,,
288,3516309,RUA DAS ORQUÍDEAS,35163090018.0,,131,433,,
289,3516309,RUA MORATÃO,35163090019.0,,56,191,,
290,3516309,RUA JOAQUIM BASÍLIO,35163090020.0,,53,226,,
291,3516309,RUA ARCÍLIO FERDEZONI 2,35163090022.0,,102,373,,
292,3516309,RUA ONZE,35163090023.0,,87,328,,
293,3516309,AVENIDA SALVADOR,35163090024.0,,65,269,,
294,3516309,VIELA UM,35163090025.0,,127,490,,
295,3516309,VIELA DOIS,35163090026.0,,182,641,,
296,3516309,AVENIDA SANTA FÉ,35163090027.0,,81,265,,
297,3516309,RUA NOVE DE JULHO,35163090028.0,,117,407,,
298,3516309,RUA VINTE E QUATRO,35163090029.0,,47,170,,
299,3516309,VIELA SEIS,35163090030.0,,107,377,,
300,3518800,VILA FLÓRIDA,35188000013.0,,332,1143,,
301,3518800,JARDIM MONTE SANTO,35188000101.0,,99,346,,
302,3518800,VILA FLORA,35188000032.0,,448,1768,,
303,3518800,ITAPEGICA,35188000103.0,,164,573,,
304,3518800,VILA SÃO RAFAEL / JARDIM VILA GALVÃO II,35188000065.0,,254,979,,
305,3518800,JARDIM VILA GALVÃO II,35188000030.0,,1278,5158,,
306,3518800,JARDIM ROSA DE FRANÇA,35188000122.0,,149,604,,
307,3518800,VALE DOS MACHADOS / PICANÇO,35188000104.0,,311,1188,,
308,3518800,JARDIM FLOR DA MONTANHA - JARDIM SANTA MENA,35188000004.0,,734,2564,,
309,3518800,JARDIM SANTA CECÍLIA II,35188000042.0,,225,763,,
310,3518800,JARDIM SANTA CECÍLIA III,35188000003.0,,54,216,,
311,3518800,VILA RIO,35188000105.0,,87,343,,
312,3518800,NÚCLEO JARDIM CREPÚSCULO,35188000106.0,,618,2041,,
313,3518800,NÚCLEO VALE DOS MACHADOS,35188000107.0,,1083,3819,,
314,3518800,INVASÃO DOS PADRES,35188000108.0,,242,806,,
315,3518800,JARDIM JOVAIA II,35188000010.0,,149,537,,
316,3518800,COCAIA,35188000045.0,,92,325,,
317,3518800,JARDIM BELA VISTA II,35188000014.0,,238,878,,
318,3518800,JARDIM SANTA MARIA / PARQUE DAS LARANJEIRAS / JARDIM SANTA E,35188000047.0,,649,2427,,
319,3518800,JARDIM ALVORADA - JARDIM MONTE CARMELO,35188000067.0,14109.0,299,1126,12983.0,11.530195381882772
320,3518800,JARDIM AMÉRICA - JARDIM BELA VISTA I,35188000031.0,,154,595,,
321,3518800,JARDIM ALVORADA - JARDIM AMÉRICA,35188000046.0,,156,506,,
322,3518800,JARDIM SCYNTILA,35188000026.0,,117,490,,
323,3518800,JARDIM ZIMBARDI,35188000027.0,,86,506,,
324,3518800,JARDIM SÃO FRANCISCO,35188000066.0,,200,755,,
325,3518800,JARDIM SANTA BÁRBARA,35188000028.0,,561,2192,,
326,3518800,HATSUTA,35188000109.0,,223,943,,
327,3518800,JARDIM PALMIRA,35188000084.0,,289,1061,,
328,3518800,JARDIM DIOGO,35188000110.0,,267,964,,
329,3518800,JARDIM ELIZABETH,35188000011.0,3039.0,242,942,2097.0,2.2261146496815285
330,3518800,SÍTIO DOS MORROS,35188000087.0,,596,2332,,
331,3518800,JARDIM SÃO JOÃO BATISTA,35188000012.0,,256,1045,,
332,3518800,JARDIM SANTA RITA II,35188000005.0,,3352,12732,,
333,3518800,JARDIM SANTA RITA I,35188000006.0,,113,390,,
334,3518800,JARDIM PARAÍSO I,35188000048.0,,203,731,,
335,3518800,JARDIM PARAÍSO II,35188000018.0,,520,1844,,
336,3518800,NÚCLEO PARQUE MIKAIL,35188000111.0,,442,1639,,
337,3518800,JARDIM SÃO DOMINGOS,35188000119.0,,200,731,,
338,3518800,JARDIM SANTA INÊS I,35188000017.0,,152,564,,
339,3518800,PARQUE IMPERIAL,35188000016.0,,246,847,,
340,3518800,JARDIM ACÁCIO,35188000072.0,1187.0,96,327,860.0,2.6299694189602447
